tconst	titleType	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes	directors	writers	person	oscarNominations	oscarWins
tt0116209	movie	The English Patient	The English Patient	1996	162	Drama,Romance,War	7.4	208354	nm0005237	nm0648546,nm0005237	"(nm0000146,actor,[""Almásy""]),(nm0000300,actress,[""Hana""]),(nm0000353,actor,[""Caravaggio""]),(nm0000218,actress,[""Katharine Clifton""]),(nm0004710,actor,[""Kip""]),(nm0000147,actor,[""Geoffrey Clifton""]),(nm0905554,actor,[""Madox""]),(nm0001638,actor,[""Major Muller""]),(nm0923610,actor,[""Hardy""]),(nm0581378,actor,[""Fenelon-Barnes""])"	12	9
tt0116213	movie	Eraser	Eraser	1996	115	Action,Crime,Thriller	6.2	121095	nm0751080	nm0701049,nm0338396,nm0155961	"(nm0000216,actor,[""Eraser""]),(nm0001853,actress,[""Lee""]),(nm0001001,actor,[""DeGuerin""]),(nm0000336,actor,[""Beller""]),(nm0665123,actor,[""Johnny C""]),(nm0000342,actor,[""Donahue""]),(nm0001572,actor,[""Monroe""]),(nm0738850,actor,[""Harper""]),(nm0157915,actor,[""Calderon""]),(nm0660244,actor,[""Schiff""])"	1	0
tt0116214	short	Ernst & Lyset	Ernst & Lyset	1996	12	Comedy,Short	7.3	681	nm0421314,nm0421716	nm0421314	"(nm0819491,actor,[""Ernst""]),(nm0960319,actor,[""Jesus""])"	1	0
tt0116233	short	Linked	Esposados	1996	24	Comedy,Short	7.1	259	nm0294379	nm0113582,nm0294379,nm0647449	"(nm0845141,actor,[""Antonio""]),(nm0022134,actress,[""Concha""]),(nm0167962,actor,[""Sr. Guerrero""]),(nm2195004,actress,[""Chica sueño""]),(nm2187923,actress,[""Sra. Guerrero""]),(nm0264079,actor,[""Hombre que cava""]),(nm1711816,actor,[""Funcionario""]),(nm2194793,actress,[""Sra. del perrito""]),(nm2191147,actor,[""Camarero Tropicana""]),(nm2196453,actor,[""Policía""])"	1	0
tt0116234	movie	An Essay on Matisse	An Essay on Matisse	1996	57	Documentary	6.5	33	nm0938306	nm0938306	"(nm0938306,actor,[""Narrator""]),(nm0807759,actor,[""Matisse""])"	1	0
tt0116250	movie	Evita	Evita	1996	135	Biography,Drama,History	6.3	38455	nm0000570	nm0005358,nm0000570,nm0000231	"(nm0000187,actress,[""Eva Perón""]),(nm0000596,actor,[""Juan Perón""]),(nm0000104,actor,[""Ché""]),(nm0619700,actor,[""Agustín Magaldi""]),(nm0839777,actress,[""Doña Juana""]),(nm0514780,actor,[""Brother Juan""]),(nm0580646,actress,[""Blanca""]),(nm0657813,actress,[""Elisa Duarte""]),(nm0941629,actress,[""Erminda""]),(nm0525450,actress,[""Young Eva""])"	5	1
tt0116282	movie	Fargo	Fargo	1996	98	Crime,Drama,Thriller	8.1	753865	nm0001054,nm0001053	nm0001053,nm0001054	"(nm0000513,actor,[""Jerry Lundegaard""]),(nm0000531,actress,[""Marge Gunderson""]),(nm0000114,actor,[""Carl Showalter""]),(nm0001780,actor,[""Gaear Grimsrud""]),(nm0749021,actress,[""Jean Lundegaard""]),(nm0696193,actor,[""Wade Gustafson""]),(nm0219301,actor,[""Scotty Lundegaard""]),(nm0396828,actor,[""Irate Customer""]),(nm0935041,actress,[""Irate Customer's Wife""]),(nm0777754,actor,[""Car Salesman""])"	7	2
tt0116313	movie	The First Wives Club	The First Wives Club	1996	103	Comedy	6.5	56511	nm0933505	nm0326118,nm0363326	"(nm0000443,actress,[""Elise Elliot Atchison""]),(nm0000541,actress,[""Brenda Morelli Cushman""]),(nm0000473,actress,[""Annie MacDuggan Paradis""]),(nm0001749,actress,[""Gunilla Garson Goldberg""]),(nm0000572,actress,[""Shelly Stewart""]),(nm0000445,actor,[""Morton Cushman""]),(nm0000330,actress,[""Cynthia Swann Griffin""]),(nm0001255,actor,[""Bill Atchison""]),(nm0004834,actor,[""Aaron Paradis""]),(nm0000924,actress,[""Phoebe LaVelle""])"	1	0
tt0116329	movie	Fly Away Home	Fly Away Home	1996	107	Adventure,Drama,Family	6.9	27886	nm0050597	nm0514043,nm0734441,nm0571706	"(nm0001099,actor,[""Thomas Alden""]),(nm0001593,actress,[""Amy Alden""]),(nm0001127,actress,[""Susan Barnes""]),(nm0455767,actor,[""David Alden""]),(nm0334077,actor,[""Barry Strickland""]),(nm0711595,actor,[""Glen Seifert""]),(nm0894083,actress,[""Amy's Mother""]),(nm0721866,actor,[""General""]),(nm0375959,actor,[""Dr. Killian""]),(nm0416663,actor,[""Developer""])"	1	0
tt0116409	movie	The Ghost and the Darkness	The Ghost and the Darkness	1996	110	Adventure,Drama,Thriller	6.8	68172	nm0394280	nm0001279	"(nm0000140,actor,[""Charles Remington""]),(nm0000174,actor,[""Col. John Henry Patterson""]),(nm0929489,actor,[""Robert Beaumont""]),(nm0434712,actor,[""Samuel""]),(nm0384060,actor,[""Dr. David Hawthorne""]),(nm0564947,actor,[""Angus Starling""]),(nm0607865,actress,[""Helena Patterson""]),(nm0700875,actor,[""Abdullah""]),(nm0147962,actor,[""Mahina""]),(nm0250803,actor,[""Indian Victim""])"	1	1
