tconst	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes	directors	writers	person
tt7645878	Eden of the East: Air Communication	Higashi no Eden: Soushuuhen Air Communication	2009	124	Animation,Comedy,Drama	6.2	67	nm0436784	nm0436784	"(nm3401643,actor,[""NEET""]),(nm1432796,actor,[""Janitor""]),(nm4535466,actor,[""NEET""]),(nm3423138,actor,[""Policeman B""]),(nm2923913,actor,[""NEET""]),(nm3414040,actor,[""Satoshi Osugi""]),(nm0297998,actor,[""Bike Cop""]),(nm0407021,actress,[""Diana Kuroha Shiratori""]),(nm2977461,actress,[""Saki Morimi""]),(nm0387033,actor,[""Yutaka Itazu""])"
tt7659018	Dino King 3D: Journey to Fire Mountain	Dino King 3D: Journey to Fire Mountain	2018	95	Action,Adventure,Animation	5.0	407	nm5142155	nm6705390,nm5142155	"(nm1775551,actor,\N),(nm5046045,actress,[""Fang""]),(nm0172259,actor,[""Cy""]),(nm0172259,actor,[""Cy""]),(nm2486264,actress,[""Junior""]),(nm2486264,actress,[""Junior""]),(nm2499927,actor,[""Speckles""]),(nm2499927,actor,[""Speckles""]),(nm4306207,actor,[""Ditto""]),(nm4306207,actor,[""Blade""]),(nm11240521,actress,[""Dusty""])"
tt7664100	Welcome to Siegheilkirchen	Rotzbub	2021	86	Animation,Comedy,Drama	6.6	566	nm2977548,nm1455707	nm0024377	"(nm8384600,actor,[""Rotzbub""]),(nm1096341,actress,[""Mariolina""]),(nm5799590,actor,[""Wimmerl""]),(nm4654635,actor,[""Grasberger""]),(nm0246948,actor,[""Poldi""]),(nm0826071,actor,[""Marek""]),(nm2753009,actress,[""Trude""]),(nm0626944,actress,[""Natascha""]),(nm1801525,actress,[""Mutter""]),(nm0781028,actor,[""Vater""])"
tt7670504	Valley of the Lanterns	Valley of the Lanterns	2018	97	Animation,Family	4.9	189	nm0405329	nm0405329	"(nm0274919,actress,[""Bookmaker""]),(nm8561803,actor,[""Porter""]),(nm6386918,actor,[""Keelan""]),(nm0522347,actor,[""Father""]),(nm0646955,actress,[""Olistene & Mother""])"
tt7701808	The Steam Engines of Oz	The Steam Engines of Oz	2018	79	Adventure,Animation,Family	3.9	3456	nm2846368	nm2846368	"(nm2254636,actor,[""The Tin Man""]),(nm1868320,actress,[""Victoria""]),(nm9529068,actor,[""Gromit""]),(nm1406730,actor,[""Scarecrow""]),(nm9868451,actor,[""Guard 1""]),(nm9868451,actor,[""Guard 2""]),(nm2584600,actress,[""Locasta""]),(nm0573926,actor,[""Phadrig""]),(nm8482708,actress,[""Flying Monkey #1""]),(nm6178115,actor,[""Kemp""]),(nm6589423,actor,[""Lucilia""])"
tt7717440	The Legend of Muay Thai: 9 Satra	9 Satra	2018	102	Action,Adventure,Animation	7.3	1721	nm9470145,nm9470141,nm9470142	nm9470142,nm1843333,nm9470143,nm9470144	"(nm8746395,actor,[""Ott""]),(nm9479673,actress,[""Xiao Lan""]),(nm9549343,actor,[""Red Asura""]),(nm9549344,actor,[""Vata""]),(nm9479674,actor,[""Dehayaksa""]),(nm2723511,actor,[""Black Jagger""]),(nm9549345,actor,[""General Pann""]),(nm9549346,actor,[""Laung Rueng""]),(nm9549347,actor,[""Old Prophet""]),(nm9549348,actress,[""Geeza""])"
tt7722178	Kochira Katsushika-ku Kameari kôen mae hashutsujo: The Movie 2 UFO - Shûrai! Torunêdo daisakusen!!	Kochira Katsushika-ku Kameari kôen mae hashutsujo: The Movie 2 UFO - Shûrai! Torunêdo daisakusen!!	2003	100	Animation	7.9	30	nm0847294	nm0015339,nm0645010	"(nm0411012,actor,[""Ryotsu Kankichi""]),(nm0594420,actor,[""Keiichi Nakagawa""]),(nm0605636,actress,[""Reiko Akimoto""]),(nm8410941,actor,[""Daijiro Ohara""]),(nm0039601,actress,[""Maria""]),(nm0261967,actor,[""Gomesu Tonda""]),(nm1097272,actress,\N),(nm0457213,actor,[""Volvo Saigo""]),(nm0407527,actor,[""Hayato Honda""])"
tt7725890	Noah's Magic Ark	Noah's Magic Ark	1996	46	Animation,Family	5.6	17	nm0791814	nm0790948	
tt7735462	Thunderbolt Fantasy: The Sword of Life and Death	Thunderbolt Fantasy: The Sword of Life and Death	2017	75	Action,Adventure,Animation	7.0	128	nm3256781,nm8915240,nm1502099	nm1502099,nm3256781	"(nm0387033,actor,[""Eradicator of Life""]),(nm1146347,actor,[""Unconcerned with Dying Young""]),(nm1047006,actor,[""Austere Snow Crow""])"
tt7745068	My Hero Academia: Two Heroes	Boku no Hîrô Akademia za Mûbî Futari no Hîrô	2018	96	Action,Adventure,Animation	7.3	13759	nm2568279	nm9484837,nm0475853,nm3619235	"(nm5693918,actor,[""Izuku Midoriya""]),(nm1399925,actor,[""All Might""]),(nm1541331,actress,[""Melissa Shield""]),(nm2462004,actor,[""Katsuki Bakugou""]),(nm2569233,actor,[""Shouto Todoroki""]),(nm4785118,actress,[""Ochako Uraraka""]),(nm5481013,actor,[""Tenya Iida""]),(nm7645092,actor,[""Eijiro Kirishima""]),(nm1209923,actress,[""Minoru Mineta""]),(nm7414534,actor,[""Denki Kaminari""])"
tt7767966	The 19th Annual Animation Show of Shows	The 19th Annual Animation Show of Shows	2017	93	Animation	6.4	41	nm4262596,nm5381569,nm8070098,nm0230032,nm0443855,nm3548166,nm2419195,nm0777989,nm3371809	\N	"(nm1101483,actor,[""Narator""])"
tt7785128	Non Non Biyori: The Movie - Vacation	Gekijo-ban Non Non Biyori: Vacation	2018	71	Adventure,Animation,Comedy	7.6	457	nm1450274	nm6014325,nm1027089	"(nm5143532,actress,[""Renge Miyauchi""]),(nm5390656,actress,[""Hotaru Ichijou""]),(nm4785118,actress,[""Natsumi Koshigaya""]),(nm2571848,actress,[""Komari Koshigaya""]),(nm1192347,actress,[""Kazuho Miyauchi""]),(nm2051934,actress,[""Kaede Kagayama""]),(nm0297994,actress,[""Hikage Miyauchi""]),(nm1785499,actress,[""Konomi Fujimiya""]),(nm6752954,actress,[""Aoi Arai""])"
tt7785870	A Frozen Christmas	A Frozen Christmas	2016	76	Animation	6.0	85	nm5643041	nm0017301,nm0026153,nm0342278,nm0342303,nm5643041	"(nm8783630,actor,[""Narrator""]),(nm8337120,actor,[""Santa""])"
tt7804254	Peixonauta: O Filme	Peixonauta: O Filme	2018	77	Adventure,Animation,Family	7.7	98	nm3445766,nm7077854,nm3444958	\N	"(nm2720516,actor,[""Zico""]),(nm7757641,actress,[""Marina""]),(nm0303379,actress,[""Marina""]),(nm0303379,actress,[""Marina""]),(nm1958170,actor,[""Peixonauta""])"
tt7805344	Dragon Princess	Princesse Dragon	2021	70	Animation,Family,Fantasy	7.2	201	nm7368361,nm4247366	nm7368361,nm4247366	"(nm6172089,actress,[""Princesse""]),(nm7477145,actress,[""Poil""]),(nm0184477,actor,[""Dragon""]),(nm0998259,actress,[""Sorcenouille""]),(nm0093609,actor,[""Le Roi""]),(nm0895606,actress,[""La Reine""]),(nm1060347,actor,[""Fiduval""]),(nm0875579,actor,[""Bourya""]),(nm3644279,actress,[""Mimi""]),(nm0756216,actor,[""Albert""])"
tt7811492	Dr. Slump: The Secret of Nanaba Castle	Dr. Slump & Arale-chan Hoyoyo! Nanaba Shiro no Hihou	1984	48	Action,Animation,Comedy	6.4	30	nm0386384	nm0793565,nm0868066,nm7495086	"(nm0157133,actor,[""Chakabo""]),(nm0157133,actor,[""Nikochan's Servant""]),(nm0299192,actor,[""Tarou""]),(nm0312656,actor,[""Kuraaku Kenta""]),(nm0394677,actress,[""Obotchaman""]),(nm1865589,actress,[""Piisuke""]),(nm1865589,actress,[""Aoi Kimidori""]),(nm0463514,actor,[""Bisuna""]),(nm0468708,actress,[""Arale Norimaki""]),(nm0593047,actress,[""Turbo-kun""]),(nm0593047,actress,[""Tsuruin Tsun""]),(nm0611452,actress,[""Midori Norimaki""]),(nm0620312,actress,[""Gatchan's""]),(nm0620312,actress,[""Tsuntsunodanoteiyugo Tsun""])"
tt7833606	Girls und Panzer das Finale: Part I	Girls und Panzer das Finale: Part I	2017	47	Action,Animation,Comedy	7.3	469	nm1598205	nm1027089	"(nm3329362,actress,[""Miho Nishizumi""]),(nm4438173,actress,[""Saori Takebe""]),(nm3501519,actress,[""Hana Isuzu""]),(nm3186312,actress,[""Yukari Akiyama""]),(nm2885728,actress,[""Mako Reizei""]),(nm0297994,actress,\N),(nm1071765,actress,\N),(nm1290090,actress,\N),(nm1328988,actress,\N),(nm2933394,actress,\N)"
tt7834494	Girls und Panzer das Finale: Part II	Girls und Panzer das Finale: Part II	2019	54	Action,Animation,Comedy	7.5	354	nm1598205	nm1027089	"(nm3329362,actress,[""Miho Nishizumi""]),(nm4438173,actress,[""Saori Takebe""]),(nm3501519,actress,[""Hana Isuzu""]),(nm3186312,actress,[""Yukari Akiyama""]),(nm2885728,actress,[""Mako Reizei""]),(nm0297994,actress,\N),(nm1071765,actress,\N),(nm1290090,actress,\N),(nm1328988,actress,\N),(nm2933394,actress,\N)"
tt7850334	Automation	Automation	2019	92	Action,Adventure,Animation	3.9	860	nm1138076	nm0437490,nm4733044,nm1138076	"(nm2233462,actress,[""Jenny""]),(nm2048731,actress,[""Susan""]),(nm0791487,actor,[""Alan""]),(nm0804353,actor,[""Devin""]),(nm2720796,actress,[""Linda""]),(nm0714560,actor,[""Bill""]),(nm1972687,actress,[""Marci""]),(nm2778196,actor,[""Mel""]),(nm3137171,actor,[""Rick""]),(nm9548794,actor,[""Auto""])"
tt7852002	A Dog's Courage	The Underdog	2018	102	Adventure,Animation,Family	6.2	295	nm7209418,nm2520393,nm2971661	nm2520393	"(nm6765553,actor,[""Moongchi""]),(nm6476224,actress,[""Bamyi""]),(nm1059148,actor,[""Jjangah""]),(nm10810213,actress,[""Kelley""]),(nm9966797,actor,[""Animal Ranger""]),(nm9966797,actor,[""Animal Ranger""]),(nm9966797,actor,[""Additional Voices""]),(nm9966797,actor,[""Additional Voices""]),(nm0557287,actor,[""Gaeko (a German Shepherd)""]),(nm1958115,actor,[""Alex""]),(nm1958115,actor,[""Alex""]),(nm11281770,actor,[""Walla""]),(nm11281770,actor,[""various dogs and humans""]),(nm8542101,actor,[""Jason""]),(nm8689984,actress,[""Annie""])"
tt7872126	Zorori the Naughty Hero: The secret of ZZ	Zorori the Naughty Hero: The secret of ZZ	2017	70	Adventure,Animation,Family	8.0	25	nm4047350	nm1027089	
