tconst	titleType	primaryTitle	originalTitle	startYear	runtimeMinutes	genres	averageRating	numVotes	directors	writers	person	oscarNominations	oscarWins
tt1057500	movie	Invictus	Invictus	2009	134	Biography,Drama,History	7.3	171026	nm0000142	nm0669756,nm1985343	"(nm0000151,actor,[""Nelson Mandela""]),(nm0000354,actor,[""Francois Pienaar""]),(nm0450961,actor,[""Jason Tshabalala""]),(nm0595680,actor,[""Linga Moonsamy""]),(nm1340604,actor,[""Hendrick Booyens""]),(nm0428484,actor,[""Etienne Feyder""]),(nm0027957,actress,[""Brenda Mazibuko""]),(nm3325268,actress,[""Nerine""]),(nm0452009,actress,[""Mary""]),(nm0529300,actor,[""Mr. Pienaar""])"	2	0
tt1305806	movie	The Secret in Their Eyes	El secreto de sus ojos	2009	129	Drama,Mystery,Romance	8.2	231802	nm0002728	nm3160078,nm0002728	"(nm0201857,actor,[""Benjamín Espósito""]),(nm0897845,actress,[""Irene Menéndez Hastings""]),(nm0706567,actor,[""Ricardo Morales""]),(nm3587952,actress,[""Liliana Coloto""]),(nm1024390,actor,[""Isidoro Gómez""]),(nm3588006,actress,[""Chica Piropo""]),(nm3587916,actor,[""Ordóñez""]),(nm3596017,actor,[""Pinche Mariano""]),(nm0016039,actor,[""Juez Fortuna Lacalle""]),(nm0289856,actor,[""Pablo Sandoval""])"	1	1
tt0417741	movie	Harry Potter and the Half-Blood Prince	Harry Potter and the Half-Blood Prince	2009	153	Action,Adventure,Family	7.6	625752	nm0946734	nm0460141,nm0746830	"(nm0705356,actor,[""Harry Potter""]),(nm0914612,actress,[""Hermione Granger""]),(nm0342488,actor,[""Ron Weasley""]),(nm0002091,actor,[""Professor Albus Dumbledore""]),(nm0499270,actor,[""Fenrir Greyback""]),(nm2917590,actress,[""Waitress""]),(nm0000980,actor,[""Professor Horace Slughorn""]),(nm0813893,actress,[""Lily Potter""]),(nm0942247,actress,[""Ginny Weasley""]),(nm0910278,actress,[""Molly Weasley""])"	1	0
tt1136608	movie	District 9	District 9	2009	112	Action,Sci-Fi,Thriller	7.9	734220	nm0088955	nm0088955,nm2833612	"(nm1663205,actor,[""Wikus van de Merwe""]),(nm3107870,actor,[""Koobus Venter""]),(nm2271261,actor,[""Grey Bradnam - UKNR Chief Correspondent""]),(nm2271261,actor,[""Christopher Johnson""]),(nm3241306,actress,[""Tania van de Merwe""]),(nm3267184,actor,[""Fundiswa Mhlanga""]),(nm1970380,actor,[""Thomas""]),(nm3392525,actor,[""Obesandjo""]),(nm3227023,actor,[""Piet Smit""]),(nm0950165,actor,[""Dirk Michaels""]),(nm1410076,actress,[""Sarah Livingstone - Sociologist""])"	4	0
tt0380510	movie	The Lovely Bones	The Lovely Bones	2009	135	Drama,Fantasy,Thriller	6.6	185529	nm0001392	nm0909638,nm0101991,nm0001392,nm1451254	"(nm0001838,actress,[""Abigail Salmon""]),(nm0000242,actor,[""Jack Salmon""]),(nm1519680,actress,[""Susie Salmon""]),(nm0000215,actress,[""Grandma Lynn""]),(nm0001804,actor,[""George Harvey""]),(nm0408284,actor,[""Len Fenerman""]),(nm0570860,actress,[""Lindsey Salmon""]),(nm2852584,actor,[""Buckley Salmon""]),(nm2201022,actor,[""Ray Singh""]),(nm2762245,actress,[""Ruth Connors""])"	1	0
tt0485601	movie	The Secret of Kells	The Secret of Kells	2009	75	Adventure,Animation,Family	7.5	39516	nm1119079,nm1316072	nm1119079,nm0957105	"(nm3322957,actor,[""Brendan""]),(nm0322407,actor,[""Abbot Cellach""]),(nm0482473,actor,[""Aidan""]),(nm3322982,actress,[""Aisling""]),(nm1744961,actor,[""Brother Tang""]),(nm1744961,actor,[""Leonardo""]),(nm0878760,actor,[""Brother Assoua""]),(nm8473677,actor,[""Adult Brendan""]),(nm2727721,actor,[""Brother Square""]),(nm1316072,actress,[""Additional Voices and Walla""]),(nm5974404,actor,[""Additional Voices and Walla""])"	1	0
tt1563725	short	Logorama	Logorama	2009	16	Action,Animation,Comedy	7.5	6397	nm3725519,nm2494615,nm2499640	nm3725519,nm2494615,nm2499640,nm0699294	"(nm0827307,actor,[""Ronald""]),(nm0827307,actor,[""Bibendum Mike""]),(nm0827307,actor,[""Bibendum Sheriff""]),(nm0041978,actor,[""Bibendum Mitch""]),(nm2163182,actress,[""Esso Girl""]),(nm0584575,actor,[""Big Boy""]),(nm0584575,actor,[""Green Giant""]),(nm0584575,actor,[""Mr. Clean""]),(nm0935616,actor,[""Haribo""]),(nm0001825,actor,[""Pringles Hot & Spicy""]),(nm0000399,actor,[""Pringles Original""]),(nm0699294,actor,[""Chopper Pilot""]),(nm0699294,actor,[""Pillsbury Doughboy""]),(nm1140161,actor,[""M&Ms""]),(nm0628120,actress,[""Dispatch Girl - Radio""])"	1	1
tt1461418	tvMovie	The Gruffalo	The Gruffalo	2009	27	Animation,Family,Fantasy	7.5	8125	nm3495071,nm2104164	nm1933857,nm3495921,nm2104164,nm3495071	"(nm0000307,actress,[""Mother Squirrel""]),(nm0117339,actor,[""Snake""]),(nm0001059,actor,[""Gruffalo""]),(nm0179479,actor,[""Mouse""]),(nm0000457,actor,[""Owl""]),(nm0929489,actor,[""Fox""]),(nm3750350,actor,[""First Little Squirrel""]),(nm3750141,actress,[""Second Little Squirrel""]),(nm0147003,actor,[""Gruffalo""])"	1	0
tt1337354	short	Miracle Fish	Miracle Fish	2009	17	Drama,Short	7.2	949	nm1029112	nm1029112	"(nm3503950,actor,[""Joe""]),(nm0232852,actor,[""Man""]),(nm3276646,actor,[""Peter""]),(nm3302738,actor,[""Matt""]),(nm0605388,actress,[""Mum""]),(nm0517548,actress,[""Front Office Lady""]),(nm3276568,actress,[""Teacher""]),(nm0201061,actor,[""Peter Unwin""]),(nm0201061,actor,[""TRG Negotiator""]),(nm1260450,actor,[""TRG #1""]),(nm1209682,actor,[""TRG #2""])"	1	0
tt0929632	movie	Precious	Precious	2009	110	Drama	7.3	118434	nm0200005	nm2819316,nm2497119	"(nm2829737,actress,[""Precious""]),(nm0594898,actress,[""Mary""]),(nm1745736,actress,[""Ms. Rain""]),(nm0001014,actress,[""Ms. Weiss""]),(nm0791868,actress,[""Cornrows""]),(nm0005107,actor,[""Nurse John""]),(nm2837910,actress,[""Rita""]),(nm1822939,actress,[""Rhonda""]),(nm2753926,actress,[""Jermaine""]),(nm2837872,actress,[""Joann""])"	6	2
tt1518330	short	Wish 143	Wish 143	2009	24	Comedy,Drama,Short	7.2	630	nm1357838	nm3635428	"(nm2774100,actor,[""David""]),(nm1239499,actor,[""Wishman""]),(nm0362053,actor,[""Burns""]),(nm1575301,actress,[""Nurse""]),(nm3070611,actor,[""Teddy""]),(nm3631338,actor,[""Tim""]),(nm1080214,actor,[""Bus Driver""]),(nm0141697,actor,[""Priest""]),(nm2596460,actress,[""Amy""]),(nm0080372,actor,[""Consultant""])"	1	0
tt0780521	movie	The Princess and the Frog	The Princess and the Frog	2009	97	Adventure,Animation,Comedy	7.2	177020	nm0166256,nm0615780	nm0166256,nm0615780,nm0258627,nm0649663,nm0972395,nm3756395	"(nm0741242,actress,[""Tiana""]),(nm0202966,actor,[""Dr. Facilier""]),(nm0001856,actress,[""Eudora""]),(nm0004797,actor,[""Prince Naveen""]),(nm1496365,actor,[""Louis""]),(nm2278607,actress,[""Charlotte La Bouff""]),(nm0191906,actor,[""Ray""]),(nm0058874,actor,[""Lawrence""]),(nm0507338,actress,[""Mama Odie""]),(nm0005024,actor,[""James""])"	3	0
tt0824758	movie	The Last Station	The Last Station	2009	112	Biography,Drama,Romance	6.9	19421	nm0001355	nm0001355,nm0661514	"(nm0000545,actress,[""Sofya""]),(nm0564215,actor,[""Valentin""]),(nm0001626,actor,[""Leo Tolstoy""]),(nm0316079,actor,[""Chertkov""]),(nm0785938,actor,[""Dushan""]),(nm1171145,actor,[""Sergeyenko""]),(nm0174403,actress,[""Masha""]),(nm0240359,actress,[""Sasha""]),(nm1756221,actor,[""Andrey""]),(nm0310057,actor,[""Ivan""])"	2	0
tt1534853	short	The Last Campaign of Governor Booth Gardner	The Last Campaign of Governor Booth Gardner	2009	37	Documentary,Short	7.2	68	nm0432616	\N	nan	1	0
tt1360061	short	The Final Inch	The Final Inch	2009	38	Documentary,Short	8.2	74	nm2480339	\N	(nm8490285,actor,\N),(nm8490286,actor,\N),(nm8490284,actress,\N),(nm8490289,actor,\N),(nm1581238,actor,\N),(nm8490288,actor,\N),(nm8490283,actor,\N),(nm8490287,actress,\N)	1	0
tt0796366	movie	Star Trek	Star Trek	2009	127	Action,Adventure,Sci-Fi	7.9	628977	nm0009190	nm0649460,nm0476064,nm0734472	"(nm1517976,actor,[""Kirk""]),(nm0704270,actor,[""Spock""]),(nm0670408,actor,[""Scotty""]),(nm0000559,actor,[""Spock Prime""]),(nm0051509,actor,[""Nero""]),(nm0339304,actor,[""Pike""]),(nm0881631,actor,[""Bones""]),(nm0757855,actress,[""Uhura""]),(nm0158626,actor,[""Sulu""]),(nm0947338,actor,[""Chekov""])"	4	1
tt0810784	movie	Bright Star	Bright Star	2009	119	Biography,Drama,Romance	6.9	29211	nm0001005	nm0001005,nm1652346	"(nm0180411,actress,[""Fanny Brawne""]),(nm0924210,actor,[""John Keats""]),(nm0773973,actor,[""Mr. Brown""]),(nm0289098,actress,[""Mrs. Brawne""]),(nm2994545,actress,[""Toots Brawne""]),(nm1032473,actor,[""Samuel""]),(nm0086865,actress,[""Maria Dilke""]),(nm1456647,actor,[""Charles Dilke""]),(nm2063982,actress,[""Abigail""]),(nm1717183,actor,[""Reynolds""])"	1	0
tt0962736	movie	The Young Victoria	The Young Victoria	2009	105	Biography,Drama,History	7.2	68075	nm0885249	nm0271501	"(nm1289434,actress,[""Queen Victoria""]),(nm1670029,actor,[""Prince Albert""]),(nm0079273,actor,[""Lord Melbourne""]),(nm0001669,actress,[""Duchess of Kent""]),(nm0000980,actor,[""King William""]),(nm0470981,actor,[""King Leopold""]),(nm0835016,actor,[""Sir John Conroy""]),(nm0159802,actor,[""Baron Stockmar""]),(nm0910040,actress,[""Queen Adelaide""]),(nm0354198,actress,[""Baroness Lehzen""])"	3	1
tt1379182	movie	Dogtooth	Kynodontas	2009	97	Drama,Thriller	7.1	116805	nm0487166	nm3328207,nm0487166	"(nm1176651,actor,[""Father""]),(nm0885091,actress,[""Mother""]),(nm1465326,actress,[""Older Daughter""]),(nm3217334,actor,[""Son""]),(nm2290708,actress,[""Younger Daughter""]),(nm2801340,actress,[""Christina""]),(nm5315106,actor,[""Colleague""]),(nm2268626,actress,[""Secretary""]),(nm0903838,actor,[""Dog trainer""])"	1	0
